store_name,city,state,store_type
Reliance Fresh Indiranagar BLR,Bangalore,Karnataka,supermarket
DMart Hadapsar Pune,Pune,Maharashtra,hypermarket
HV Whitefield BLR,Bangalore,Karnataka,supermarket
Spencer's Saket DEL,Delhi,Delhi,supermarket
More Supermarket Banjara Hills HYD,Hyderabad,Telangana,supermarket
Big Bazaar Andheri MUM,Mumbai,Maharashtra,hypermarket
Nature's Basket Koramangala BLR,Bangalore,Karnataka,specialty
Reliance Smart Bazaar Salt Lake CCU,Kolkata,West Bengal,hypermarket
DMart Vastrapur AMD,Ahmedabad,Gujarat,hypermarket
Spencer's T Nagar CHE,Chennai,Tamil Nadu,supermarket
